word,hyphenation,tune
aportalla,a-por-tal-la,
aportare,a-por-ta-re,
aportaro,a-por-ta-ro,
aporti,a-por-ti,
apostoli,a-po-sto-li,
appaga,ap-pa-ga,
appaia,ap-pa-ia,
appaion,ap-pa-ion,
appar,ap-par,
appare,ap-pa-re,
apparecchiando,ap-pa-rec-chian-do,
apparecchiava,ap-pa-rec-chia-va,
apparenza,ap-pa-rèn-za,"[False, False, True, False]"
apparer,ap-pa-rer,
apparir,ap-pa-rir,
appariro,ap-pa-ri-ro,
apparisce,ap-pa-ri-sce,
appariscon,ap-pa-ri-scon,
apparita,ap-pa-rì-ta,"[False, False, True, False]"
appariti,ap-pa-ri-ti,
appariva,ap-pa-ri-va,
apparivan,ap-pa-ri-van,
apparse,ap-par-se,
apparve,ap-par-ve,
apparver,ap-par-ver,
appella,ap-pel-la,
appena,ap-pé-na,"[False, True, False]"
appesi,ap-pe-si,
appetibili,ap-pe-ti-bi-li,
appetito,ap-pe-tì-to,"[False, False, True, False]"
appigli,ap-pi-gli,
appollo,ap-pol-lo,
apporta,ap-por-ta,
apporterai,ap-por-te-ra-i,
apposto,ap-pó-sto,"[False, True, False]"
appostolico,ap-po-sto-li-co,
apprende,ap-pren-de,
apprender,ap-pren-der,
apprendi,ap-pren-di,
apprendo,ap-pren-do,
apprensiva,ap-pren-sì-va,"[False, False, True, False]"
appresa,ap-pre-sa,
apprese,ap-pre-se,
appresenta,ap-pre-sen-ta,
appreser,ap-pre-ser,
appreso,ap-pré-so,"[False, True, False]"
appressa,ap-pres-sa,
appressammo,ap-pres-sam-mo,
appressando,ap-pres-san-do,
appressarne,ap-pres-sar-ne,
appressarsi,ap-pres-sar-si,
appressavamo,ap-pres-sa-va-mo,
appresso,ap-près-so,"[False, True, False]"
apprezza,ap-prez-za,
approbo,ap-pro-bo,
approccia,ap-proc-cia,
approda,ap-pro-da,
appropinquava,ap-pro-pin-qua-va,
appropria,ap-pro-pria,
approssimare,ap-pros-si-mà-re,"[False, False, False, True, False]"
approvarla,ap-pro-va-rla,
approvo,ap-pro-vo,
appulcro,ap-pul-cro,
appuzza,ap-puz-za,
apr,a-pr,
apre,a-pre,
apregiasse,a-pre-gias-se,
aprender,a-pren-der,
aprendi,a-pren-di,
aprendo,a-pren-do,
apreso,a-pre-so,
apressando,a-pres-san-do,
apressimando,a-pres-si-man-do,
apressoch,a-pres-so-ch,
apri,à-pri,"[True, False]"
aprimi,a-pri-mi,
aprio,a-prio,
aprir,a-prir,
aprire,a-prì-re,"[False, True, False]"
aprissi,a-pris-si,
aquella,a-quel-la,
aquila,à-qui-la,"[True, False, False]"
aquilone,a-qui-ló-ne,"[False, False, True, False]"
ara,à-ra,"[True, False]"
arabi,a-ra-bi,
aragne,a-rà-gne,"[False, True, False]"
arata,a-ra-ta,
arato,a-rà-to,"[False, True, False]"
arbitrio,ar-bì-trio,"[False, True, False]"
arbore,àr-bo-re,"[True, False, False]"
arbuscelli,ar-bu-scel-li,
arca,àr-ca,"[True, False]"
arcanamente,ar-ca-na-mén-te,"[False, False, False, True, False]"
arcangeli,ar-can-ge-li,
arche,ar-chè,"[False, True]"
archi,àr-chi,"[True, False]"
archimandrita,ar-chi-man-drì-ta,"[False, False, False, True, False]"
arcioni,ar-cio-ni,
arco,àr-co,"[True, False]"
